PUSH  FIND  POP
9461     795     1627     
9467     795     1628     
9474     796     1629     
9479     796     1630     
9486     797     1631     
9492     797     1632     
9499     798     1634     
9505     798     1635     
9512     799     1636     
9518     800     1637     
9525     801     1638     
9531     802     1639     
9538     803     1640     
9545     804     1641     
9551     805     1642     
9557     805     1643     
9563     805     1644     
9569     806     1645     
9576     807     1646     
9582     808     1647     
9588     809     1648     
9595     810     1649     
9601     810     1650     
9608     811     1651     
9614     812     1652     
9620     813     1653     
9626     813     1654     
9632     813     1655     
9639     814     1656     
9645     814     1657     
9652     815     1658     
9658     816     1659     
9664     817     1660     
9670     818     1662     
9676     818     1663     
9683     819     1664     
9689     819     1665     
9696     820     1666     
9702     821     1667     
9708     821     1668     
9715     822     1669     
9721     823     1670     
9727     823     1671     
9734     824     1672     
9740     825     1673     
9747     826     1674     
9754     827     1675     
9760     828     1676     
9766     829     1678     
9773     830     1679     
9779     831     1680     
9786     832     1681     
9791     832     1682     
9798     833     1683     
9805     834     1684     
9811     834     1685     
9817     834     1686     
9824     835     1688     
9831     836     1689     
9837     836     1690     
9844     836     1691     
9851     837     1692     
9857     837     1694     
9863     838     1695     
9870     839     1696     
9876     839     1697     
9883     840     1698     
9889     841     1699     
9895     841     1700     
9902     842     1701     
9908     843     1702     
9914     844     1703     
9920     845     1704     
9926     846     1705     
9932     846     1706     
9939     847     1707     
9945     847     1708     
9952     848     1709     
9958     849     1710     
9964     849     1711     
9970     849     1712     
9977     850     1713     
9983     850     1714     
9990     851     1715     
9996     851     1716     
10002     852     1717     
10008     852     1718     
10015     853     1720     
10021     854     1721     
10027     854     1722     
10034     855     1723     
10040     855     1724     
10046     855     1725     
10053     856     1727     
10059     856     1728     
10065     856     1729     
10073     857     1730     
10079     858     1731     
10085     859     1733     
10091     859     1734     
10098     859     1735     
10104     859     1736     
10111     859     1738     
10117     859     1739     
10124     860     1740     
10130     860     1741     
10136     860     1742     
10143     861     1743     
10149     862     1744     
10155     862     1745     
10162     863     1746     
10169     863     1747     
10176     863     1748     
10182     864     1750     
10188     864     1751     
10195     865     1752     
10202     866     1753     
10208     866     1754     
10215     867     1755     
10221     868     1756     
10227     868     1757     
10233     868     1758     
10239     868     1759     
10246     869     1760     
10252     870     1762     
10258     870     1763     
10265     871     1764     
10271     872     1765     
10277     872     1766     
10284     872     1767     
10291     873     1768     
10296     873     1769     
10303     874     1770     
10309     875     1771     
10315     876     1772     
10322     877     1773     
10328     877     1774     
10335     878     1775     
10341     878     1776     
10348     879     1777     
10354     879     1778     
10361     880     1779     
10367     880     1780     
10373     880     1781     
10380     880     1783     
10387     881     1784     
10394     881     1785     
10401     881     1786     
10408     882     1787     
10414     883     1789     
10420     883     1790     
10427     884     1791     
10433     885     1792     
10439     886     1793     
10445     886     1794     
10452     886     1795     
10458     887     1796     
10465     887     1797     
10472     887     1798     
10479     887     1799     
10485     887     1800     
10491     887     1801     
10498     887     1802     
10505     888     1803     
10512     889     1804     
10518     889     1805     
10524     889     1806     
10531     889     1807     
10537     889     1808     
10544     890     1809     
10550     890     1810     
10556     890     1811     
10563     891     1812     
10569     891     1813     
10576     892     1815     
10582     892     1816     
10589     892     1817     
10596     893     1818     
10602     894     1819     
10608     894     1820     
10615     895     1821     
10621     896     1822     
10627     896     1823     
10633     896     1825     
10639     896     1826     
10645     896     1827     
10652     897     1828     
10658     897     1829     
10665     898     1830     
10671     899     1831     
10677     899     1833     
10683     900     1835     
10689     901     1837     
10695     902     1839     
10701     902     1840     
10708     903     1841     
10714     904     1842     
10720     905     1844     
10727     906     1845     
10733     907     1846     
10739     907     1847     
10746     908     1849     
10752     909     1850     
10758     910     1851     
10764     910     1852     
10771     911     1853     
10777     911     1854     
10784     912     1855     
10790     912     1856     
10797     913     1857     
10804     914     1858     
10810     915     1860     
10816     915     1861     
10822     915     1862     
10829     915     1863     
10836     916     1864     
10842     916     1865     
10849     917     1866     
10855     917     1867     
10862     917     1868     
10868     917     1869     
10875     918     1870     
10881     919     1872     
10888     920     1873     
10895     920     1874     
10901     920     1875     
10908     921     1876     
10914     922     1877     
10920     923     1878     
10926     923     1879     
10933     924     1880     
10940     925     1881     
10946     926     1883     
10953     927     1884     
10959     927     1885     
10966     927     1886     
10973     928     1887     
10979     929     1888     
10985     930     1890     
10991     930     1891     
10997     930     1892     
11004     931     1893     
11010     932     1895     
11017     933     1896     
11023     934     1898     
11030     935     1899     
11036     935     1900     
11042     935     1901     
11049     935     1902     
11055     935     1903     
11062     936     1904     
11068     936     1905     
11075     937     1906     
11081     938     1907     
11088     939     1908     
11094     939     1909     
11101     940     1910     
11108     940     1911     
11115     941     1912     
11121     942     1913     
11127     942     1914     
11142     942     1915     
11148     942     1916     
11154     942     1917     
11161     943     1919     
11167     943     1920     
11173     944     1921     
11180     945     1923     
11187     946     1924     
11193     947     1925     
11199     947     1926     
11214     947     1927     
11221     948     1928     
11227     949     1929     
11233     950     1930     
11239     951     1931     
11245     952     1932     
11251     953     1933     
11258     954     1934     
11265     954     1935     
11272     955     1936     
11278     956     1937     
11284     956     1938     
11290     956     1939     
11297     956     1940     
11303     956     1941     
11310     957     1942     
11316     958     1944     
11322     958     1945     
11329     959     1946     
11334     959     1947     
11340     959     1948     
11347     959     1950     
11353     959     1951     
11360     960     1952     
11366     960     1954     
11372     960     1955     
11379     961     1956     
11385     961     1957     
11392     962     1958     
11398     963     1959     
11405     964     1960     
11411     964     1961     
11417     965     1963     
11423     965     1964     
11430     966     1965     
11436     967     1966     
11442     968     1967     
11448     969     1969     
11454     969     1970     
11461     970     1971     
11468     971     1972     
11474     971     1973     
11480     971     1974     
11487     972     1975     
11493     972     1976     
11500     973     1977     
11506     973     1979     
11512     973     1980     
11519     974     1982     
11525     974     1984     
11532     975     1985     
11538     976     1986     
11544     977     1987     
11550     977     1988     
11556     977     1989     
11563     978     1990     
11570     979     1991     
11576     980     1993     
11583     981     1994     
11589     981     1995     
11595     981     1996     
11601     981     1997     
11608     982     1998     
11614     982     1999     
11621     983     2000     
11627     984     2001     
11632     984     2002     
11639     985     2004     
11646     986     2005     
11653     987     2006     
11659     988     2007     
11665     989     2008     
11671     990     2009     
11678     991     2010     
11692     992     2011     
11699     993     2013     
11705     993     2014     
11711     994     2016     
11719     994     2017     
11726     1003     2018     
11742     1004     2019     
11749     1004     2020     
11756     1004     2021     
11771     1004     2022     
11778     1005     2023     
11785     1006     2024     
11791     1006     2025     
11798     1007     2026     
11805     1008     2027     
11812     1008     2028     
11818     1008     2029     
11824     1008     2030     
11831     1009     2032     
11837     1009     2033     
11844     1010     2034     
11850     1010     2035     
11857     1011     2036     
11863     1012     2037     
11869     1013     2038     
11876     1013     2039     
11883     1014     2040     
11889     1014     2042     
11895     1014     2043     
11901     1014     2044     
11908     1015     2045     
11914     1015     2046     
11920     1015     2048     
11926     1015     2049     
11932     1015     2050     
11939     1016     2051     
11945     1016     2052     
11951     1017     2054     
